Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
Gcrew_UP_CoreA_T0_A,-0.000286882,0.116799381,-0.039
Gcrew_UP_CoreA_T0_B,0.001068678,0.128508667,0.675
Gcrew_UP_CoreA_T1_A,0.022507935,0.140541298,11.826
Gcrew_UP_CoreA_T1_B,0.038822388,0.093627863,29.555
Gcrew_UP_CoreA_T2_A,0.054777005,0.105759998,43.864
Gcrew_UP_CoreA_T2_B,0.05709022,0.129541197,41.504
Gcrew_UP_CoreA_T3_A,0.07844238,0.117688743,60.662
Gcrew_UP_CoreA_T3_B,0.055688667,0.117690366,43.145
Gcrew_UP_CoreA_T4_A,0.084928137,0.129885158,71.22
Gcrew_UP_CoreA_T4_B,0.087475647,0.141719594,68.001
Gcrew_UP_CoreA_T5_A,0.177986228,0.213118381,108.452
Gcrew_UP_CoreA_T5_B,0.499137005,0.225719951,376.848
Gcrew_UP_CoreA_T6_A,0.170438457,0.297772896,128.824
Gcrew_UP_CoreA_T6_B,0.168975591,0.225750954,129.425
Gcrew_TR_CoreA_T0_A,0.056098875,0.08130013,37.722
Gcrew_TR_CoreA_T0_B,0.066346492,0.128341313,32.827
Gcrew_TR_CoreA_T1_A,0.162443226,23.72775281,136.263
Gcrew_TR_CoreA_T1_B,0.149072404,25.36000781,95.43
Gcrew_WC_CoreA_T0_A,0.001556394,0.140502665,0.935
Gcrew_WC_CoreA_T0_B,0.011268571,0.188601863,6.078
Gcrew_WC_CoreA_T1_A,0.117481379,1.640949795,51.599
Gcrew_WC_CoreA_T1_B,0.063260557,1.147807994,23.852
Gcrew_WC_CoreA_T2_A,0.103112037,1.60668614,76.557
Gcrew_WC_CoreA_T2_B,0.225562414,5.101496965,174.528
Gcrew_WC_CoreA_T3_A,0.218311024,4.260407945,143.323
Gcrew_WC_CoreA_T3_B,0.10307706,2.314744364,64.998
Gcrew_WC_CoreA_T4_A,0.165478928,3.191639098,111.216
Gcrew_WC_CoreA_T4_B,0.086310455,1.58248404,60.143
Gcrew_WC_CoreA_T5_A,0.174581042,2.303107149,123.038
Gcrew_WC_CoreA_T5_B,0.178643955,3.466074259,74.057
Gcrew_TR_CoreB_T0_A,0.236226875,0.140937039,138.123
Gcrew_TR_CoreB_T0_B,0.172814966,0.116766105,96.438
Gcrew_TR_CoreB_T1_A,0.317233068,18.35965941,239.558
Gcrew_TR_CoreB_T1_B,0.234824194,25.02478617,186.002
Gcrew_WC_CoreC_T6_B,0.064397625,1.284444567,38.844
Gcrew_WC_CoreC_T6_A,0.029675899,0.652926874,18.887
Gcrew_UP_CoreC_T6_B,0.17883323,0.495593503,135.787
Gcrew_UP_CoreC_T6_A,0.224991013,0.519771571,162.917
Gcrew_WC_CoreC_T5_B,0.21409844,5.098104789,107.429
Gcrew_WC_CoreC_T5_A,0.067111859,1.612844288,46.895
Gcrew_WC_CoreC_T4_B,0.00131363,0.215429567,0.994
Gcrew_WC_CoreC_T4_A,0.031169283,0.373425442,18.793
Gcrew_WC_CoreC_T3_B,0.012855693,0.397910379,8.549
Gcrew_WC_CoreC_T3_A,0.135893796,3.8475905,83.548
Gcrew_WC_CoreC_T2_B,0.189697849,6.447445286,129.04
Gcrew_WC_CoreC_T2_A,0.231060668,5.439154332,151.87
Gcrew_WC_CoreC_T1_B,0.00412855,0.191758351,3.207
Gcrew_WC_CoreC_T1_A,0.021336456,0.385850817,14.275
Gcrew_WC_CoreC_T0_B,0.010215096,0.190152088,4.661
Gcrew_WC_CoreC_T0_A,0.0523689,0.396992397,25.427
Gcrew_UP_CoreC_T6_B,0.516289138,5.512061574,333.478
Gcrew_UP_CoreC_T6_A,0.526031539,4.212378084,350.693
Gcrew_UP_CoreC_T5_B,0.595147272,5.840175605,401.54
Gcrew_UP_CoreC_T5_A,0.636212748,5.415141602,449.129
Gcrew_UP_CoreC_T4_B,0.531748448,4.382424819,352.261
Gcrew_UP_CoreC_T4_A,0.298516879,2.657490267,199.392
Gcrew_UP_CoreC_T3_B,0.283211121,2.681570643,176.009
Gcrew_UP_CoreC_T3_A,0.466483593,5.365887351,265.305
Gcrew_UP_CoreC_T2_B,0.324949888,3.252667877,213.511
Gcrew_UP_CoreC_T2_A,0.088669867,0.859775557,62.058
Gcrew_UP_CoreC_T1_B,0.249634232,2.256678992,170.309
Gcrew_UP_CoreC_T1_A,0.456823792,3.969812087,353.089
Gcrew_UP_CoreC_T0_B,-0.006803849,0.118475116,-4.069
Gcrew_UP_CoreC_T0_A,-0.004550521,0.130537798,-2.588
Gcrew_WC_CoreB_T5_B,0.186882679,0.34956508,128.194
Gcrew_WC_CoreB_T5_A,0.176385923,0.361800817,125.102
Gcrew_WC_CoreB_T4_B,0.067844725,1.089323619,32.817
Gcrew_WC_CoreB_T4_A,0.090883421,0.276897226,67.93
Gcrew_WC_CoreB_T3_B,0.068600137,0.191556399,45.62
Gcrew_WC_CoreB_T3_A,0.09759229,1.212069955,69.051
Gcrew_WC_CoreB_T2_B,0.041571638,0.179656921,30.417
Gcrew_WC_CoreB_T2_A,0.045394538,0.167604912,34.462
Gcrew_WC_CoreB_T1_B,0.033573798,0.118982461,25.15
Gcrew_WC_CoreB_T1_A,0.030642283,0.106792368,22.565
Gcrew_WC_CoreB_T0_B,0.001424153,0.094045346,0.945
Gcrew_WC_CoreB_T0_A,-0.006818021,0.11787993,-3.405
Gcrew_UP_CoreB_T6_B,0.233747015,0.204073884,178.408
Gcrew_UP_CoreB_T6_A,0.256748249,0.216288441,201.496
Gcrew_UP_CoreB_T5_B,0.214932923,0.179799766,165.458
Gcrew_UP_CoreB_T5_A,0.209368482,0.167654497,161.321
Gcrew_UP_CoreB_T4_B,0.108752977,0.155486242,83.18
Gcrew_UP_CoreB_T4_A,0.134513016,0.143152976,95.519
Gcrew_UP_CoreB_T3_B,0.04559147,0.45902733,33.431
Gcrew_UP_CoreB_T3_A,0.088406942,0.130941046,61.32
Gcrew_UP_CoreB_T2_B,0.052985732,0.130607085,32.742
Gcrew_UP_CoreB_T2_A,0.056111631,0.106835386,41.91
Gcrew_UP_CoreB_T1_B,0.02255379,0.130335188,12.863
Gcrew_UP_CoreB_T1_A,0.033169931,0.106652972,23.142
Gcrew_UP_CoreB_T0_B,0.000668693,0.130236674,0.5
Gcrew_UP_CoreB_T0_A,-0.002484259,0.082380002,-1.631
